code,location,registered,envelopes,valid,»esk· str.soci·lnÏ demokrat.,ObËansk· demokratick· aliance,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,STAROSTOV… A NEZ¡VISLÕ,»esk· pir·tsk· strana,RadostnÈ »esko,ObËansk· demokratick· strana,Strana zelen˝ch,Strana svobodn˝ch obËan˘,Komunistick· str.»ech a Moravy,Blok proti islam.-Obran.domova,"ROZUMNÕ-stop migraci,dikt·t.EU"
566756,BdenÏves,510,367,365,17,2,1,2,50,44,0,42,3,1,21,0,4
558656,BezvÏrov,551,257,254,18,1,0,0,9,9,1,17,3,5,28,0,2
530239,BÌlov,58,33,32,2,0,0,0,1,1,0,10,2,0,3,0,0
558672,Blatnice,677,398,395,36,0,2,0,32,32,1,46,1,7,31,0,3
566764,Blaûim,52,27,27,1,0,0,0,0,2,0,1,0,0,6,0,1
566471,Bohy,107,62,62,9,0,0,0,1,3,0,7,0,0,2,0,0
566489,Brodeslavy,61,45,45,5,0,0,0,0,2,0,5,1,0,2,0,2
558699,BuËÌ,131,87,85,13,1,0,0,4,9,0,12,1,3,7,0,0
558711,»eminy,222,140,139,6,0,1,0,7,1,0,13,0,2,15,0,0
566632,»ernÌkovice,65,49,49,3,0,0,0,1,5,2,9,1,1,5,0,0
530328,»erÚovice,166,93,92,15,0,0,0,4,3,0,9,0,2,14,0,0
558745,»esk· B¯Ìza,454,302,301,18,2,0,0,17,38,0,42,14,3,15,0,2
558770,Dob¯ÌË,345,225,224,22,1,0,0,8,19,0,19,1,5,28,0,3
558788,Dolany,218,131,130,7,1,0,0,6,18,0,17,1,7,4,0,0
558796,DolnÌ BÏl·,369,246,246,17,1,1,0,15,24,0,37,3,2,29,0,1
558800,DolnÌ HradiötÏ,50,32,32,3,0,3,0,0,4,0,2,0,1,3,0,0
578665,DraûeÚ,114,80,80,5,0,0,0,1,4,0,9,1,0,9,0,2
558834,Druztov·,597,396,391,18,0,0,0,45,38,1,58,5,2,24,1,2
558869,He¯manova Huù,1430,681,678,40,0,0,0,82,46,2,48,6,3,69,2,14
566390,Hlince,65,40,39,4,0,0,0,1,1,0,4,0,0,8,0,0
530221,HnÏvnice,87,53,53,6,0,0,0,0,10,0,1,1,1,8,0,1
566730,Holovousy,53,39,38,5,0,0,0,6,4,0,6,0,0,2,0,0
558877,HornÌ BÏl·,466,336,334,30,0,0,0,13,31,0,26,3,5,38,2,1
558885,HornÌ B¯Ìza,3504,2031,2008,163,9,2,0,94,199,3,178,15,40,235,7,28
