code,location,registered,envelopes,valid,Česká pirátská strana,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Občanská demokratická aliance,Strana zelených,Řád národa - Vlastenecká unie,"ROZUMNÍ-stop migraci,diktát.EU",Blok proti islam.-Obran.domova,Občanská demokratická strana,STAROSTOVÉ A NEZÁVISLÍ,Radostné Česko,Strana svobodných občanů,Komunistická str.Čech a Moravy
566756,Bdeněves,510,367,365,44,2,17,2,3,1,4,0,42,50,0,1,21
558656,Bezvěrov,551,257,254,9,0,18,1,3,0,2,0,17,9,1,5,28
530239,Bílov,58,33,32,1,0,2,0,2,0,0,0,10,1,0,0,3
558672,Blatnice,677,398,395,32,0,36,0,1,2,3,0,46,32,1,7,31
566764,Blažim,52,27,27,2,0,1,0,0,0,1,0,1,0,0,0,6
566471,Bohy,107,62,62,3,0,9,0,0,0,0,0,7,1,0,0,2
566489,Brodeslavy,61,45,45,2,0,5,0,1,0,2,0,5,0,0,0,2
558699,Bučí,131,87,85,9,0,13,1,1,0,0,0,12,4,0,3,7
558711,Čeminy,222,140,139,1,0,6,0,0,1,0,0,13,7,0,2,15
566632,Černíkovice,65,49,49,5,0,3,0,1,0,0,0,9,1,2,1,5
530328,Čerňovice,166,93,92,3,0,15,0,0,0,0,0,9,4,0,2,14
558745,Česká Bříza,454,302,301,38,0,18,2,14,0,2,0,42,17,0,3,15
558770,Dobříč,345,225,224,19,0,22,1,1,0,3,0,19,8,0,5,28
558788,Dolany,218,131,130,18,0,7,1,1,0,0,0,17,6,0,7,4
558796,Dolní Bělá,369,246,246,24,0,17,1,3,1,1,0,37,15,0,2,29
558800,Dolní Hradiště,50,32,32,4,0,3,0,0,3,0,0,2,0,0,1,3
578665,Dražeň,114,80,80,4,0,5,0,1,0,2,0,9,1,0,0,9
558834,Druztová,597,396,391,38,0,18,0,5,0,2,1,58,45,1,2,24
558869,Heřmanova Huť,1430,681,678,46,0,40,0,6,0,14,2,48,82,2,3,69
566390,Hlince,65,40,39,1,0,4,0,0,0,0,0,4,1,0,0,8
530221,Hněvnice,87,53,53,10,0,6,0,1,0,1,0,1,0,0,1,8
566730,Holovousy,53,39,38,4,0,5,0,0,0,0,0,6,6,0,0,2
558877,Horní Bělá,466,336,334,31,0,30,0,3,0,1,2,26,13,0,5,38
558885,Horní Bříza,3504,2031,2008,199,0,163,9,15,2,28,7,178,94,3,40,235
558915,Hromnice,1019,634,632,62,2,47,0,6,0,8,0,82,39,6,12,60
558931,Hvozd,205,167,164,9,1,10,0,0,0,2,1,9,5,0,7,18
558940,Chotíkov,912,636,635,85,0,32,3,5,0,7,2,102,28,1,2,25
558974,Chříč,190,102,101,9,0,2,0,2,0,3,0,4,5,1,1,11
558982,Jarov,114,87,86,7,0,3,0,3,0,0,0,7,6,0,1,3
558991,Kaceřov,107,79,76,9,0,4,1,0,0,1,0,9,4,0,0,3
559008,Kaznějov,2437,1486,1476,135,0,168,1,16,5,18,5,124,48,0,21,138
538183,Kbelany,82,53,52,5,0,6,0,1,0,0,0,1,2,1,0,2
578771,Kočín,103,46,45,1,0,6,0,0,0,0,0,5,2,0,3,9
559024,Kopidlo,117,83,82,8,0,10,0,1,0,0,0,8,3,0,0,9
559032,Koryta,110,75,73,1,0,6,0,1,0,0,0,8,4,0,1,3
559041,Kozojedy,506,307,305,32,0,13,1,5,0,0,0,34,17,1,6,30
559059,Kozolupy,840,535,528,41,2,26,1,6,0,5,1,45,126,1,6,44
559067,Kožlany,1159,662,662,58,1,63,3,8,2,9,0,90,23,4,6,79
559075,Kralovice,2885,1777,1768,184,0,162,12,14,3,20,3,196,84,2,39,168
559083,Krašovice,314,192,190,16,1,14,2,2,0,1,0,31,7,0,0,29
559091,Krsy,213,105,103,6,0,0,0,0,0,1,0,6,13,1,3,15
559105,Křelovice,198,99,99,4,0,4,0,2,0,0,0,14,2,0,0,19
559121,Kunějovice,135,61,60,3,0,8,0,0,1,0,1,4,1,0,5,8
559148,Ledce,665,426,422,36,0,26,3,2,1,2,2,64,13,1,9,51
559164,Líně,2046,1263,1253,103,0,117,2,11,2,15,0,158,46,1,19,111
559172,Líšťany,589,266,266,15,0,16,0,4,0,2,2,42,15,1,1,25
566420,Líté,180,113,113,5,0,7,0,2,0,3,0,10,14,0,3,19
566462,Lochousice,99,51,51,2,0,1,0,1,1,1,0,1,3,0,0,4
566446,Loza,208,140,138,14,0,14,0,2,0,0,0,10,5,1,2,13
559202,Manětín,937,577,576,43,0,55,0,7,2,7,1,73,28,1,19,61
559211,Město Touškov,1664,982,972,83,1,53,5,10,2,7,0,100,111,4,16,70
559237,Mladotice,443,286,285,22,0,34,0,2,0,4,0,16,10,2,5,20
559245,Mrtník,267,200,197,20,0,17,0,1,0,1,1,28,8,1,3,14
566543,Myslinka,166,99,99,7,0,8,0,1,1,0,0,10,18,0,2,4
559253,Nadryby,100,75,75,8,0,0,0,1,0,1,0,12,6,0,4,0
559261,Nečtiny,540,330,328,26,0,32,0,7,0,3,0,15,25,1,6,38
559270,Nekmíř,398,257,254,30,2,22,0,2,0,7,0,33,6,0,7,23
559288,Nevřeň,232,151,150,21,0,13,0,0,0,4,0,18,10,0,5,11
559300,Nýřany,5477,2896,2875,300,1,247,8,38,4,35,5,315,151,3,34,236
559318,Obora,430,314,310,24,1,26,1,5,0,0,2,32,28,0,6,28
559326,Ostrov u Bezdružic,170,79,79,3,0,9,0,2,0,1,0,3,0,0,0,10
566781,Pastuchovice,61,39,38,4,0,4,0,1,0,0,0,4,1,0,1,8
559334,Pernarec,619,309,308,24,0,10,1,1,1,4,2,18,17,0,4,35
530336,Pláně,223,142,142,8,0,8,0,0,1,0,0,7,6,1,11,18
559351,Plasy,2197,1389,1383,147,1,126,1,15,0,14,3,135,53,1,17,137
559369,Plešnice,219,122,118,11,0,14,1,3,0,4,1,16,9,0,1,2
559377,Pňovany,362,230,230,21,0,25,0,0,0,4,0,18,13,0,5,34
530247,Potvorov,114,81,80,9,0,4,0,2,0,0,2,15,3,0,0,7
559393,Přehýšov,448,248,245,12,0,8,1,3,0,4,0,29,6,0,1,30
567086,Příšov,257,171,169,12,0,17,0,4,0,2,0,24,4,0,2,13
559423,Rochlov,232,142,140,24,0,5,0,2,0,0,0,8,4,0,2,19
559431,Rybnice,427,270,265,25,0,14,1,2,1,0,0,34,7,0,5,34
530271,Sedlec,69,23,23,1,0,2,0,0,0,0,0,4,0,0,0,2
566748,Slatina,56,41,41,5,0,5,0,0,0,0,0,6,1,0,1,7
553603,Studená,35,28,28,6,0,6,0,0,0,0,0,0,1,0,0,0
578797,Štichovice,95,77,75,4,0,10,0,0,0,0,1,4,6,0,4,8
578983,Tatiná,199,122,122,13,0,11,1,2,0,0,0,16,6,0,2,15
559482,Tis u Blatna,92,54,53,5,0,4,0,1,0,0,0,2,4,0,0,13
559491,Tlučná,2507,1483,1479,189,1,168,6,13,4,7,2,164,73,0,29,98
559504,Trnová,757,470,467,35,0,39,0,2,0,7,0,50,20,0,6,45
559521,Třemošná,4006,2543,2535,255,0,194,8,21,8,24,2,400,160,3,35,185
546411,Úherce,278,184,182,27,0,3,3,1,0,1,0,22,8,1,2,24
